taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
6065;2016-12-01 02:30:00;60;0;8;0;bankkártya
5243;2016-12-01 09:15:00;480;0;6,75;0;készpénz
5114;2016-12-01 09:30:00;420;0;6;2;bankkártya
2118;2016-12-01 20:45:00;780;0;11,75;0;bankkártya
4531;2016-12-01 21:15:00;540;0;7,25;0;készpénz
6535;2016-12-01 21:30:00;840;0;8;0;készpénz
710;2016-12-01 21:45:00;360;0;6,25;0;készpénz
2643;2016-12-01 23:45:00;180;0;4,25;0;készpénz
7939;2016-12-02 04:15:00;300;0;5,75;0;készpénz
2863;2016-12-02 07:45:00;360;0;6,75;1;bankkártya
5400;2016-12-02 09:30:00;780;0;9,25;0;készpénz
6197;2016-12-02 13:30:00;60;0;3,25;0;készpénz
4044;2016-12-02 13:45:00;960;0;11;0;készpénz
1026;2016-12-02 15:45:00;300;0;5,5;0;készpénz
3773;2016-12-02 16:00:00;420;0;6;0;készpénz
569;2016-12-02 17:00:00;180;0;4,5;2;bankkártya
6078;2016-12-02 17:00:00;540;0;7;2;bankkártya
3449;2016-12-02 17:15:00;60;0;3,25;0;készpénz
4611;2016-12-02 19:00:00;600;0;7,5;0;készpénz
6562;2016-12-02 20:00:00;240;0;5,25;0;készpénz
1901;2016-12-02 21:45:00;60;0;3,25;0;készpénz
1322;2016-12-02 23:15:00;600;0;8;2;bankkártya
5628;2016-12-03 00:30:00;420;0;6,75;0;készpénz
3163;2016-12-03 00:45:00;420;0;10,25;0;készpénz
5857;2016-12-03 02:00:00;540;0;8;0;készpénz
8709;2016-12-03 08:30:00;180;0;5,25;0;készpénz
8117;2016-12-03 14:45:00;420;0;6,5;1;bankkártya
1827;2016-12-03 15:45:00;360;0;6,25;0;készpénz
7011;2016-12-03 16:30:00;1260;0;13,75;0;készpénz
6898;2016-12-03 19:00:00;1980;0;16,5;0;készpénz
4770;2016-12-03 19:15:00;900;0;14,25;0;készpénz
3793;2016-12-03 20:00:00;1200;0;13,75;0;készpénz
2697;2016-12-03 21:45:00;180;0;4;0;készpénz
3360;2016-12-04 01:00:00;240;0;4,75;0;készpénz
1523;2016-12-04 02:00:00;300;0;3,5;0;készpénz
5659;2016-12-04 02:00:00;120;0;4,75;0;készpénz
686;2016-12-04 14:30:00;120;0;4;1;bankkártya
1098;2016-12-04 15:45:00;600;0;9,5;0;készpénz
3637;2016-12-04 19:15:00;300;0;5,5;0;készpénz
1319;2016-12-04 19:30:00;600;0;8;0;készpénz
7748;2016-12-04 20:15:00;180;0;5,5;1;bankkártya
5901;2016-12-05 06:45:00;660;0;13,75;3,4;bankkártya
1901;2016-12-05 09:00:00;240;0;4,75;0;készpénz
1030;2016-12-05 09:30:00;180;0;4,75;2;bankkártya
3721;2016-12-05 14:45:00;240;0;4,75;0;készpénz
8289;2016-12-05 21:00:00;780;0;12,25;0;ingyenes
2330;2016-12-06 09:00:00;360;0;5,5;0;készpénz
197;2016-12-06 10:30:00;840;0;9;0;készpénz
4702;2016-12-06 15:00:00;360;0;6,25;1;bankkártya
3267;2016-12-06 17:45:00;420;0;6,25;2;bankkártya
5796;2016-12-06 18:45:00;720;0;8,5;2;bankkártya
7596;2016-12-06 19:30:00;2520;0;50,25;12,45;bankkártya
772;2016-12-06 19:45:00;21;0;3,25;0;bankkártya
2901;2016-12-06 20:45:00;1200;0;27,5;8,25;bankkártya
4576;2016-12-07 00:45:00;240;0;5,75;3;bankkártya
3465;2016-12-07 09:45:00;1020;0;11;2,2;bankkártya
5475;2016-12-07 10:45:00;240;0;5,25;0;készpénz
4849;2016-12-07 12:00:00;60;0;3,25;0;készpénz
4927;2016-12-07 15:30:00;960;0;10,25;3,05;bankkártya
4702;2016-12-07 17:00:00;540;0;7,25;0;készpénz
2643;2016-12-07 17:30:00;3540;0;42,75;6;bankkártya
8044;2016-12-07 18:00:00;60;0;55,25;0;készpénz
4111;2016-12-07 18:00:00;1140;0;11;3,3;bankkártya
1928;2016-12-07 18:45:00;120;0;3,75;0;készpénz
3453;2016-12-07 19:45:00;60;0;3,25;0;készpénz
3684;2016-12-07 22:45:00;180;0;5;0;készpénz
29;2016-12-08 00:15:00;300;0;6;0;készpénz
6353;2016-12-08 08:15:00;720;0;9;0;készpénz
4111;2016-12-08 11:15:00;480;0;6,5;2;bankkártya
8709;2016-12-08 12:00:00;420;0;6;2;bankkártya
4954;2016-12-08 12:45:00;360;0;6;0;készpénz
6552;2016-12-08 13:00:00;1980;0;45,75;9,15;bankkártya
1750;2016-12-08 13:15:00;60;0;3,25;0;készpénz
3588;2016-12-08 13:30:00;300;0;5,75;2;bankkártya
7430;2016-12-08 14:30:00;7320;0;3,25;0;készpénz
4285;2016-12-08 14:45:00;480;0;6,5;1;bankkártya
2653;2016-12-08 15:00:00;20;0;3,25;0;készpénz
5426;2016-12-08 16:00:00;2640;0;42,75;9,35;bankkártya
4675;2016-12-08 18:30:00;180;0;4;0;készpénz
5029;2016-12-08 19:00:00;660;0;7;0;készpénz
2607;2016-12-08 21:15:00;660;0;8;0;készpénz
5054;2016-12-08 23:30:00;480;0;7,5;0;készpénz
2612;2016-12-09 08:30:00;360;0;5,75;0;készpénz
3514;2016-12-09 09:15:00;600;0;10,75;0;készpénz
4438;2016-12-09 11:00:00;540;0;7,75;0;készpénz
6458;2016-12-09 11:45:00;540;0;7,25;0;készpénz
3649;2016-12-09 14:30:00;1020;0;10,25;2;bankkártya
760;2016-12-09 14:30:00;720;0;19;0;készpénz
1901;2016-12-09 15:15:00;840;0;9,5;0;készpénz
7063;2016-12-09 16:00:00;420;0;6,5;0;készpénz
50;2016-12-09 16:15:00;300;0;5,5;3;bankkártya
5829;2016-12-09 16:45:00;360;0;5,25;0;készpénz
3433;2016-12-09 18:00:00;60;0;3,25;0;készpénz
4680;2016-12-09 18:15:00;480;0;6,25;0;készpénz
7517;2016-12-09 18:45:00;840;0;9,25;0;készpénz
279;2016-12-09 20:00:00;300;0;5,25;2;bankkártya
1563;2016-12-09 20:45:00;780;0;12,75;0;készpénz
710;2016-12-09 21:45:00;540;0;10,25;0;készpénz
7066;2016-12-09 23:30:00;900;0;14,25;0;készpénz
1322;2016-12-10 01:45:00;540;0;7,75;0;készpénz
7541;2016-12-10 11:30:00;300;0;5,5;0;készpénz
3612;2016-12-10 12:45:00;420;0;6,5;0;készpénz
4106;2016-12-10 16:45:00;660;0;7,5;2;bankkártya
1463;2016-12-10 18:15:00;300;0;5,25;0;készpénz
7415;2016-12-10 18:45:00;780;0;10;0;készpénz
3514;2016-12-10 20:45:00;240;0;4,75;0;készpénz
5812;2016-12-10 23:00:00;480;0;6,75;0;készpénz
973;2016-12-10 23:00:00;60;0;3,5;0;készpénz
2421;2016-12-11 00:15:00;60;0;3,75;0;készpénz
7528;2016-12-11 00:30:00;660;0;10,25;0;készpénz
625;2016-12-11 05:00:00;1500;0;45,25;13,55;bankkártya
5472;2016-12-11 17:45:00;360;0;6,75;1;bankkártya
7210;2016-12-12 14:45:00;540;0;7,5;2;bankkártya
376;2016-12-12 19:00:00;480;0;6,25;0;készpénz
686;2016-12-12 23:30:00;360;0;6,25;0;készpénz
6317;2016-12-13 10:45:00;300;0;5;0;készpénz
8648;2016-12-13 11:15:00;1020;0;11;1;bankkártya
505;2016-12-13 11:30:00;420;0;6,75;0;készpénz
2877;2016-12-13 12:00:00;600;0;8;0;készpénz
1152;2016-12-13 14:15:00;540;0;6,75;0;készpénz
7210;2016-12-13 14:30:00;720;0;8;0;készpénz
6407;2016-12-13 14:30:00;480;0;7,25;2;bankkártya
5367;2016-12-13 15:45:00;1080;0;14,75;0;készpénz
4107;2016-12-13 16:00:00;180;0;5;0;készpénz
2888;2016-12-13 17:15:00;1620;0;16,25;0;készpénz
4770;2016-12-13 17:45:00;600;0;11,25;0;készpénz
8546;2016-12-13 18:00:00;540;0;6,25;0;készpénz
5114;2016-12-13 18:15:00;5100;0;48,75;6;bankkártya
3862;2016-12-13 19:00:00;420;0;6,25;0;készpénz
4359;2016-12-13 19:00:00;780;0;7,5;0;készpénz
2175;2016-12-13 19:15:00;840;0;8,75;0;készpénz
4870;2016-12-13 20:15:00;120;0;3,75;0;készpénz
7355;2016-12-13 21:45:00;300;0;5,75;0;készpénz
1383;2016-12-14 03:00:00;180;0;4,75;0;készpénz
3040;2016-12-14 09:15:00;900;0;13;2;bankkártya
6317;2016-12-14 09:45:00;420;0;6,75;2;bankkártya
2041;2016-12-14 12:45:00;420;0;6,5;1;bankkártya
760;2016-12-14 13:45:00;60;0;4;0;készpénz
393;2016-12-14 15:15:00;600;0;7,25;0;készpénz
6749;2016-12-14 16:15:00;360;0;6;0;készpénz
7092;2016-12-14 17:15:00;780;0;9;2;bankkártya
7748;2016-12-14 18:00:00;1020;0;9,5;2;bankkártya
8661;2016-12-14 18:30:00;60;0;3,25;0;készpénz
8016;2016-12-14 18:30:00;1140;0;13,75;2,95;bankkártya
1243;2016-12-14 20:00:00;780;0;8,25;3;bankkártya
2918;2016-12-14 20:15:00;540;0;7;1,4;bankkártya
1347;2016-12-15 05:00:00;60;0;3,25;0;készpénz
7523;2016-12-15 08:45:00;1740;0;20;5;bankkártya
1262;2016-12-15 10:00:00;240;0;5;0;készpénz
4872;2016-12-15 12:30:00;540;0;7,5;0;készpénz
1751;2016-12-15 13:45:00;660;0;9;0;készpénz
8397;2016-12-15 14:00:00;335;0;5;0;készpénz
3891;2016-12-15 18:45:00;240;0;5,25;0;készpénz
2066;2016-12-15 20:30:00;240;0;6;1;bankkártya
5796;2016-12-15 21:00:00;300;0;5,75;2;bankkártya
1164;2016-12-15 22:15:00;360;0;6,75;2;bankkártya
5636;2016-12-16 00:30:00;660;0;8;1;bankkártya
5143;2016-12-16 01:30:00;300;0;7;2;bankkártya
7210;2016-12-16 08:00:00;360;0;5,75;0;készpénz
5400;2016-12-16 08:45:00;300;0;5,25;2;bankkártya
548;2016-12-16 09:30:00;360;0;6;0;készpénz
2448;2016-12-16 12:15:00;540;0;8,25;2;bankkártya
6744;2016-12-16 13:00:00;420;0;6,25;2;bankkártya
2663;2016-12-16 13:15:00;11;0;3,25;0;készpénz
8648;2016-12-16 14:45:00;2160;0;27,75;4;bankkártya
629;2016-12-16 15:45:00;1200;0;13,5;0;készpénz
6317;2016-12-16 17:00:00;840;0;8,75;0;készpénz
3238;2016-12-16 18:00:00;1140;0;9,75;0;készpénz
6830;2016-12-16 19:00:00;60;0;3,25;0;készpénz
8232;2016-12-16 22:00:00;1140;0;14;0;készpénz
3356;2016-12-16 22:00:00;660;0;14,25;0;készpénz
6;2016-12-16 23:30:00;840;0;20,5;5,35;bankkártya
4106;2016-12-17 09:00:00;420;0;8,25;0;készpénz
1383;2016-12-17 12:30:00;240;0;6;2;bankkártya
7810;2016-12-17 13:15:00;60;0;0,01;0;készpénz
1385;2016-12-17 15:30:00;1980;0;21;0;készpénz
7776;2016-12-17 16:00:00;780;0;8,5;3;bankkártya
6562;2016-12-17 16:45:00;360;0;5,75;0;készpénz
3014;2016-12-17 16:45:00;420;0;5,75;4;bankkártya
3865;2016-12-17 16:45:00;360;0;6,5;2;bankkártya
1587;2016-12-17 21:00:00;2220;0;44,5;5;bankkártya
